"","psi","w_A","w_FL","alpha","vatt_DOC","vatt_beta","vatt_npe","vfl_DOC","vfl_beta","vfl_npe","z_DOC","z_beta","z_D2","z_npe","h_DOC","h_beta","h_D2","h_npe","zi","zi2"
"Production_NonSinking",0.00260952138066772,0.0213656847163797,0.681263303578284,0.0104365126444058,-0.00238673134134437,-0.00135300861954057,0.00103819371906144,0.0143280414481567,0.000523647714733455,0.0108566588672296,-0.0118470126831578,-0.000140361383186072,-0.00398284300976726,0.0147504883341388,0.00590126414388781,0.000410963125100139,-0.000722606331843512,-0.00546076148073715,-0.00418642765745503,0.00299498267316933
"Production_Sinking",0.222091347939838,0.239696983668288,0.00576075874452409,0.264746763379594,-0.00457447140987721,-0.0066044246803485,0.00655218231331223,0.0034909674599044,0.0111785387233951,-0.000476900837476757,0.000118569620832565,-0.00139940601094146,-0.000975797148367707,0.000565574592625295,0.0108805197285825,-0.00334726044199463,-0.00238386271947011,-0.0122936589425684,-0.00551909829218133,-0.0111731656487768
"Respiration_Sinking",0.224894357428755,0.243068373727264,-0.00679662477944687,0.251502870351726,-0.0189738769831835,0.00275311186624572,0.0051019396983677,0.00736712622236246,-0.0109800687323622,0.00626812706726454,-0.000225204673510726,-0.00175700215230434,0.012040128430605,0.00680994631321941,0.00127341189551367,0.00406589442377914,0.00338187494935083,0.00642561864617319,0.00761696251158883,0.00277230424649555
"Respiration_zoo",-0.00244669142274034,0.0233707100542418,0.506643256118565,-0.00134087365629432,0.00197999261494974,0.013658408117844,0.0041060497254648,0.064442452944141,0.0267024846636986,0.0410820312475564,0.000875375299146275,-0.00286984021518966,0.00765570023105799,-0.00749651596195,0.00526153163740384,0.00849288675217663,0.0281228184509053,-0.00821268380324636,-0.000211484701797993,-0.00740281792831965
