"","psi","w_A","w_FL","alpha","vatt_DOC","vatt_beta","vatt_npe","vfl_DOC","vfl_beta","vfl_npe","z_DOC","z_beta","z_D2","z_npe","h_DOC","h_beta","h_D2","h_npe","zi","zi2"
"Production_NonSinking",0.469711544365584,0.470027975550049,0.90187065603282,0.481340778875764,0.465074325988665,0.475432568233467,0.466713864089055,0.500933475529866,0.48831878880083,0.483708292704655,0.468551213679176,0.474454775701434,0.464806661153839,0.473927702651625,0.46293025032226,0.471807691231096,0.469662990662369,0.464553471030528,0.475679099410469,0.468953438218863
"Production_Sinking",0.608508880123916,0.605085821669531,0.381518314703155,0.618738991808752,0.376108223682747,0.38203899111679,0.381333383144125,0.381770305234585,0.379062806021031,0.38224917716344,0.386617667761793,0.382625320052883,0.386388121246626,0.384579033062132,0.388656001982246,0.384715488718275,0.386111577246901,0.381387424736006,0.383281781092558,0.379879731010661
"Respiration_Sinking",0.605052784389517,0.612746563643171,0.377191859566316,0.62246507262577,0.376906482144617,0.374620094810955,0.375219298905103,0.378048048964111,0.377654167412589,0.377434417086668,0.375394836498623,0.372550434000103,0.3759300141721,0.376405806447805,0.376947554348904,0.376090067753395,0.377838074930188,0.374497729105356,0.377078578802057,0.374087641639825
"Respiration_zoo",0.454959018388267,0.460548081569181,0.812742519015858,0.462417107336059,0.466548868515014,0.461333855241419,0.450980388118842,0.500196949520689,0.488732540341737,0.490180856875093,0.445969781600888,0.449067980263485,0.455415862073826,0.448789067498691,0.47105992614067,0.459126517527658,0.470655901298539,0.454668284337549,0.450252624510284,0.448547708203861
