"variable","estimation","CI"
"psi",0.706,"(0.669 ; 0.726)"
"wA",0.098,"(0.074 ; 0.1)"
"wFL",0.096,"(0.062 ; 0.099)"
"alpha",0.768,"(0.743 ; 0.773)"
"CF_A",2.051,"(1.512 ; 2.641)"
"CF_FL",0.553,"(0.352 ; 0.571)"
"loss",0,"(0 ; 0.162)"
