"variable","estimation","CI"
"psi",0.734,"(0.708 ; 0.734)"
"wA",0.099,"(0.014 ; 0.1)"
"wFL",0.1,"(0.1 ; 0.1)"
"alpha",0.786,"(0.786 ; 0.799)"
"CF_A",1.956,"(0.246 ; 1.977)"
"CF_FL",1.55,"(1.55 ; 1.55)"
"loss",0.621,"(0.621 ; 0.621)"
