"variable","estimation","CI"
"psi",0.727,"(0.727 ; 0.728)"
"wA",0.08,"(0.08 ; 0.08)"
"wFL",0.1,"(0.1 ; 0.1)"
"alpha",0.79,"(0.789 ; 0.79)"
"CF_A",1.55,"(1.55 ; 1.55)"
"CF_FL",1.55,"(1.55 ; 1.55)"
"loss",0.621,"(0.621 ; 0.621)"
